victims_age;victims_gender;victims_race;date_of_incident;city;state;cause_of_death;official_disposition_of_death;armed_status;fleeing;symptoms;body_camera;race_of_officers
41;Male;Unknown race;17/09/2021;Marietta;GA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
38;Male;Unknown race;17/09/2021;Escondido;CA;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
Unknown;Male;Unknown race;16/09/2021;Huntsville;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
30;Female;Unknown race;15/09/2021;Phoenix ;AZ;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
25;Male;Unknown race;15/09/2021;Davis;OK;Gunshot;Pending investigation;Allegedly Armed;;Yes;no;
49;Male;White;14/09/2021;Mantua Township;NJ;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;No;no;
Unknown;Male;Black;11/09/2021;Longs;SC;Gunshot;Pending investigation;Unclear;other;No;yes;
30;Male;Unknown race;11/09/2021;Shreveport;LA;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
29;Male;Black;10/09/2021;Oxon Hill;MD;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;Yes;no;
40;Male;Hispanic;08/09/2021;Gilroy;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Drug or Alcohol Use;;
43;Male;White;07/09/2021;Lufkin;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
31;Male;Unknown race;07/09/2021;Sioux Falls;SD;Physical Restraint;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;Unclear;;
53;Male;White;07/09/2021;Sacramento;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unclear;yes;
45;Male;White;07/09/2021;New Salem;ND;Gunshot;Pending investigation;Allegedly Armed;;No;;
46;Male;Unknown race;07/09/2021;Moriarty;NM;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
32;Male;Black;07/09/2021;Clearwater;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Male;Unknown race;07/09/2021;Fruit Cove;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
52;Male;White;07/09/2021;Lufkin;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
35;Male;Unknown race;06/09/2021;Old Fields;WV;Gunshot;Pending investigation;Allegedly Armed;;No;;
41;Male;Black;06/09/2021;Miamisburg;OH;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
59;Male;Hispanic;06/09/2021;Springfield;OR;Gunshot;Pending investigation;Allegedly Armed;;No;no;
25;Male;White;04/09/2021;Lakewood;WA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
39;Male;Hispanic;04/09/2021;Fresno;CA;Taser, Physical Restraint;Pending investigation;Unclear;;Drug or Alcohol Use;;
52;Male;White;03/09/2021;Weston;WV;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
52;Female;Hispanic;03/09/2021;Denver;CO;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
28;Male;Hispanic;03/09/2021;Los Lunas;NM;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
37;Male;Unknown race;03/09/2021;Denver;CO;Gunshot;Pending investigation;Allegedly Armed;;No;no;
37;Male;Hispanic;03/09/2021;Las Cruces;NM;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
31;Male;White;03/09/2021;Franklin;WI;Gunshot;Pending investigation;Allegedly Armed;other;Yes;no;
60;Male;Black;03/09/2021;Buena Park;CA;Gunshot;Pending investigation;Unclear;car;Unclear;no;
18;Male;Hispanic;03/09/2021;Fort Worth ;TX;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
37;Male;White;02/09/2021;Warren;RI;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
33;Male;White;02/09/2021;Arvada;CO;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unclear;;
39;Male;Unknown race;01/09/2021;Houston;TX;Gunshot;Pending investigation;Vehicle;;No;;
33;Male;Black;01/09/2021;Indianapolis ;IN;Gunshot;Pending investigation;Allegedly Armed;;No;no;
26;Male;White;01/09/2021;Peyton;CO;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
65;Female;White;01/09/2021;Metairie;LA;Gunshot;Pending investigation;Vehicle;car;Unclear;;
55;Male;White;31/08/2021;Anaheim;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
34;Male;Unknown race;31/08/2021;Washington;DC;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;no;
45;Male;Unknown race;31/08/2021;Martelle;IA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
38;Male;Black;30/08/2021;West Melbourne;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
80;Male;Unknown race;30/08/2021;Pearlington;MS;Gunshot;Pending investigation;Unclear;;No;no;
66;Male;White;30/08/2021;Normal;IL;Gunshot;Pending investigation;Unclear;;No;no;
48;Female;Hispanic;30/08/2021;Miami Shores;FL;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;Yes;no;
36;Female;White;30/08/2021;Coconut Creek;FL;Gunshot;Pending investigation;Vehicle;;No;no;
24;Male;Hispanic;29/08/2021;Bronx;NY;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
Unknown;Male;Unknown race;29/08/2021;Atlanta ;GA;Gunshot;Pending investigation;Allegedly Armed;;No;yes;
Unknown;Male;Unknown race;29/08/2021;Morrisville;PA;Gunshot;Pending investigation;Unclear;;No;no;
31;Male;Black;29/08/2021;Missoula;MT;Gunshot;Pending investigation;Allegedly Armed;;No;no;
40;Male;White;29/08/2021;Atlanta;GA;Gunshot;Pending investigation;Allegedly Armed;car;Yes;no;
30;Male;White;28/08/2021;Tonopah;NV;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
Unknown;Male;Unknown race;28/08/2021;Arkoma;OK;Gunshot;Pending investigation;Vehicle;;No;;
30;Male;White;27/08/2021;Portland ;OR;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
33;Male;Unknown race;27/08/2021;Honolulu;HI;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
41;Male;Black;27/08/2021;Greensboro;NC;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;no;
19;Male;Unknown race;27/08/2021;Elkhart;IN;Gunshot;Pending investigation;Unclear;;Unclear;;
53;Male;White;27/08/2021;Elmira;NY;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
26;Male;Unknown race;26/08/2021;Sanford;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
33;Male;White;26/08/2021;Milwaukee;WI;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
53;Male;White;26/08/2021;Nampa;ID;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
27;Male;Native American;26/08/2021;Wasilla;AK;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;car;No;no;
22;Male;Unknown race;25/08/2021;Fremont;CA;Gunshot;Pending investigation;Allegedly Armed;;No;yes;
36;Male;Unknown race;25/08/2021;Redondo Beach;CA;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
42;Male;Unknown race;25/08/2021;Grantsville;UT;Gunshot;Pending investigation;Allegedly Armed;;No;no;
33;Male;Unknown race;25/08/2021;Rutland;VT;Gunshot;Pending investigation;Unclear;foot;No;no;Black
27;Male;Black;25/08/2021;Washington;DC;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
43;Male;White;25/08/2021;West Richland;WA;Gunshot;Pending investigation;Allegedly Armed;;Unclear;;
38;Male;Black;25/08/2021;Crescent City;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
22;Male;Black;24/08/2021;College Park;GA;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;No;no;
48;Male;White;24/08/2021;Provo;UT;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
31;Male;Unknown race;24/08/2021;Payson;AZ;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;No;no;
33;Male;Unknown race;24/08/2021;Butler City;IL;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
42;Male;Hispanic;23/08/2021;Amarillo;TX;Gunshot;Pending investigation;Allegedly Armed;;No;no;
35;Male;White;23/08/2021;Butler;PA;Gunshot;Pending investigation;Allegedly Armed;;Yes;no;
31;Male;Black;22/08/2021;Milwaukee;WI;Gunshot;Pending investigation;Allegedly Armed;car;No;yes;
59;Male;Hispanic;22/08/2021;Guadalupe;CA;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;no;
28;Male;White;21/08/2021;Florence;MS;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
45;Male;White;21/08/2021;Allenhurst ;GA;Gunshot;Pending investigation;Unclear;not fleeing;No;no;
28;Male;White;20/08/2021;Chanute;KS;Gunshot;Pending investigation;Allegedly Armed;;No;no;
34;Male;Hispanic;20/08/2021;Amarillo;TX;Gunshot;Pending investigation;Allegedly Armed;;No;no;
Unknown;Male;Unknown race;19/08/2021;El Cajon;CA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
26;Male;Unknown race;19/08/2021;Selawik ;AK;Gunshot;Pending investigation;Allegedly Armed;;No;no;
72;Male;White;18/08/2021;Pflugerville;TX;Gunshot;Pending investigation;Allegedly Armed;;No;;
34;Male;Hispanic;18/08/2021;Highland;CA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
28;Male;Black;18/08/2021;Marietta;GA;Gunshot;Pending investigation;Vehicle;car;No;no;
29;Male;Black;18/08/2021;Philadelphia;PA;Gunshot;Pending investigation;Allegedly Armed;other;No;no;
50;Male;White;18/08/2021;Beckley;WV;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;;No;no;
33;Male;Hispanic;18/08/2021;Thornton;CO;Gunshot;Pending investigation;Allegedly Armed;car;No;;
41;Male;Black;18/08/2021;Somerville;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unclear;;
27;Female;Native American;17/08/2021;Wheat Ridge;CO;Gunshot;Pending investigation;Unclear;;No;no;
42;Male;Black;16/08/2021;Milwaukee;WI;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
27;Male;Black;16/08/2021;Memphis;TN;Gunshot;Pending investigation;Vehicle;;No;no;
29;Female;White;15/08/2021;Chuckey;TN;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
Unknown;Male;Unknown race;15/08/2021;Albuquerque;NM;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
40;Male;White;15/08/2021;Chapin;SC;Gunshot, Taser;Pending investigation;Allegedly Armed;car;No;no;
Unknown;Male;Unknown race;15/08/2021;Barstow;CA;Gunshot;Pending investigation;Unclear;foot;Unclear;;
38;Female;White;14/08/2021;Saugus;MA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
35;Male;White;14/08/2021;Galesburg;MI;Gunshot;Pending investigation;Allegedly Armed;other;No;no;
80;Male;White;14/08/2021;St. Paul;NE;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Male;Unknown race;13/08/2021;Bakersfield;CA;Gunshot;Pending investigation;Unclear;not fleeing;Yes;yes;
35;Male;White;13/08/2021;San Antonio;TX;Gunshot;Pending investigation;Allegedly Armed;other;Unclear;;
73;Male;White;12/08/2021;Orlando;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;yes;
Unknown;Male;Unknown race;12/08/2021;Winnie;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
Unknown;Male;Unknown race;11/08/2021;Denver;CO;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
34;Male;Hispanic;11/08/2021;Castaic;CA;Gunshot;Pending investigation;Vehicle;other;No;no;
41;Male;Pacific Islander;11/08/2021;Honolulu;HI;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
35;Male;White;11/08/2021;Juniata;NE;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
31;Male;White;11/08/2021;Nashville ;TN;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;white, white, white
50;Male;Unknown race;11/08/2021;Victorville;CA;Physical Restraint;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;Unknown;;
71;Male;White;10/08/2021;Grantsboro;NC;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
21;Male;Hispanic;10/08/2021;El Mirage;AZ;Gunshot;Pending investigation;Allegedly Armed;foot;No;no;
51;Male;White;10/08/2021;North Aurora;IL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
48;Male;Black;09/08/2021;Seguin;TX;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
63;Male;White;09/08/2021;Rocky Face;GA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
39;Male;Hispanic;09/08/2021;Tustin;CA;Gunshot;Pending investigation;Unclear;;Unknown;;
62;Male;White;08/08/2021;Spring;TX;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
Unknown;Male;Unknown race;08/08/2021;Detroit;MI;Gunshot;Pending investigation;Allegedly Armed;;No;no;
40;Male;Black;08/08/2021;Baltimore;MD;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
22;Male;Black;08/08/2021;Lafayette;LA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
21;Male;Hispanic;07/08/2021;Bakersfield;CA;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
22;Male;Asian;06/08/2021;La Habra;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
49;Male;White;06/08/2021;Cullman;AL;Gunshot;Pending investigation;Unclear;;No;no;
34;Male;White;06/08/2021;Coeur d'Alene;ID;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
59;Male;White;06/08/2021;Delancey;NY;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
35;Male;White;05/08/2021;Rockville;IN;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
22;Male;White;05/08/2021;Seattle;WA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
35;Male;White;05/08/2021;Hartford;VT;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;no;
36;Male;Hispanic;05/08/2021;Joplin;MO;Gunshot;Pending investigation;Allegedly Armed;;No;no;
21;Male;White;04/08/2021;Glendora;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
38;Male;White;04/08/2021;Mansfield ;OH;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
19;Male;White;04/08/2021;Blackfoot;ID;Gunshot;Pending investigation;Allegedly Armed;foot;No;;
22;Male;Black;03/08/2021;Nashville;TN;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;no;
76;Male;White;03/08/2021;Waco;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
22;Male;Unknown race;03/08/2021;Conshohocken ;PA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Male;Hispanic;02/08/2021;Eagle Pass;TX;Physical Restraint;Pending investigation;Unarmed/Did Not Have Actual Weapon;;No;;
31;Male;Hispanic;31/07/2021;Woodville;CA;Gunshot;Pending investigation;Allegedly Armed;other;No;no;
39;Male;Unknown race;31/07/2021;Yulee;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
49;Male;White;31/07/2021;Centennial;CO;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
44;Male;Hispanic;30/07/2021;Celina;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
31;Male;Unknown race;29/07/2021;Mansfield ;OH;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
32;Male;White;28/07/2021;Wetumpka;AL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;;
56;Male;White;27/07/2021;Westfield ;PA;Gunshot;Pending investigation;Unclear;;No;no;
19;Female;Black;27/07/2021;Dolton;IL;Gunshot;Pending investigation;Vehicle;car;No;yes;
60;Male;White;27/07/2021;Las Vegas;NV;Gunshot;Pending investigation;Vehicle;car;No;no;
55;Male;Black;27/07/2021;Calumet City;IL;Gunshot;Pending investigation;Allegedly Armed;;No;no;
39;Male;Black;27/07/2021;Riverside;OH;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
Unknown;Female;White;27/07/2021;Chickasha;OK;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
35;Male;Unknown race;27/07/2021;Cottonwood;AL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
58;Male;Hispanic;26/07/2021;Los Angeles ;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
39;Male;White;26/07/2021;Gobles;MI;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
29;Female;Hispanic;26/07/2021;San Antonio;TX;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;;
35;Male;Unknown race;25/07/2021;Crowley;LA;Gunshot;Pending investigation;Allegedly Armed;;No;no;
38;Male;Black;25/07/2021;Atlanta;GA;Gunshot;Pending investigation;Unclear;not fleeing;No;no;
41;Male;Hispanic;25/07/2021;Wasco;CA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
31;Male;White;24/07/2021;Boise;ID;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;yes;
27;Male;Unknown race;24/07/2021;Dothan;AL;Taser;Pending investigation;Allegedly Armed;not fleeing;Unknown;;
22;Male;Hispanic;23/07/2021;San Diego;CA;Gunshot;Pending investigation;Allegedly Armed;other;No;no;
40;Male;Hispanic;22/07/2021;Philadelphia;PA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
25;Male;White;22/07/2021;Boerne;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Unknown;no;
43;Male;White;22/07/2021;Duncan;OK;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
35;Male;White;20/07/2021;Harrisburg;PA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;no;
19;Male;Native American;20/07/2021;Salinas;CA;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;Drug or Alcohol Use;yes;
42;Male;Pacific Islander;20/07/2021;Salt Lake City;UT;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
31;Male;Hispanic;20/07/2021;Phoenix ;AZ;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
37;Male;Hispanic;20/07/2021;Davenport;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;;
50;Male;White;19/07/2021;Toledo;OH;Gunshot;Pending investigation;Allegedly Armed;other;Yes;yes;
43;Male;White;19/07/2021;Cairo;GA;Gunshot;Pending investigation;Vehicle;car;No;yes;
35;Male;Black;18/07/2021;Houston;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
35;Male;White;18/07/2021;Daphne;AL;Gunshot;Pending investigation;Allegedly Armed;car;No;yes;
35;Male;Black;18/07/2021;Tucson;AZ;Gunshot;Justified by County Attorney;Allegedly Armed;;Unknown;yes;
16;Male;Unknown race;17/07/2021;Appalachia;VA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
36;Male;Black;17/07/2021;Canton;MS;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
30;Male;Unknown race;17/07/2021;Las Vegas;NM;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
36;Male;Black;17/07/2021;Savannah;GA;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
21;Male;Black;16/07/2021;Gaithersburg;MD;Gunshot;Pending investigation;Allegedly Armed;not fleeing;Yes;yes;
51;Female;White;16/07/2021;Nampa;ID;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
64;Male;White;16/07/2021;Roswell;NM;Gunshot;Pending investigation;Allegedly Armed;;No;no;
48;Male;White;15/07/2021;Los Angeles ;CA;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;No;yes;
24;Male;White;15/07/2021;Essex;MT;Gunshot;Pending investigation;Unclear;car;No;;
32;Male;Hispanic;14/07/2021;Houston;TX;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
31;Male;Black;14/07/2021;Albuquerque;NM;Gunshot;Pending investigation;Unclear;;No;;
32;Male;Black;13/07/2021;Baltimore;MD;Gunshot;Pending investigation;Allegedly Armed;;No;no;
21;Male;Hispanic;13/07/2021;El Paso;TX;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
22;Male;White;12/07/2021;Pensacola;FL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
Unknown;Male;Unknown race;12/07/2021;Ontario;CA;Gunshot;Pending investigation;Vehicle;car;No;no;
36;Male;Native American;11/07/2021;Waterflow;NM;Gunshot;Pending investigation;Allegedly Armed;car;No;no;
24;Male;White;11/07/2021;North East;MD;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
37;Male;White;10/07/2021;Bennington Township;MI;Gunshot;Pending investigation;Allegedly Armed;;No;no;
34;Male;Black;09/07/2021;Chicago;IL;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
23;Male;Hispanic;09/07/2021;Salem ;OR;Gunshot;Pending investigation;Allegedly Armed;;Yes;no;
53;Male;Unknown race;08/07/2021;Presque Isle;ME;Gunshot;Pending investigation;Allegedly Armed;;No;no;
64;Male;White;08/07/2021;Phoenix ;AZ;Gunshot;Pending investigation;Unarmed/Did Not Have Actual Weapon;not fleeing;Yes;no;
53;Male;Asian;08/07/2021;Brooklyn;NY;Gunshot;Pending investigation;Allegedly Armed;foot;No;yes;
34;Male;White;07/07/2021;Medford;OR;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;yes;
45;Male;Hispanic;07/07/2021;Santa Fe;NM;Gunshot;Pending investigation;Allegedly Armed;not fleeing;No;no;
33;Male;White;06/07/2021;Danville;KY;Gunshot;Pending investigation;Allegedly Armed;;No;no;
32;Male;Hispanic;06/07/2021;Houston;TX;Gunshot;Pending investigation;Allegedly Armed;;No;no;
